Country, Variable, Unit, Symbol,"""2020""",
Afghanistan, % of agricultural GVA produced by irrigated agriculture, %, E,44.4,
Afghanistan, % of total country area cultivated, %, E,12.4,
Afghanistan, Agricultural water withdrawal,10^9 m3/year, I,20,
Afghanistan, Agricultural water withdrawal as % of total renewable water resources, %, I,30.61,
Afghanistan, Agricultural water withdrawal as % of total water withdrawal, %, E,98.17,
Afghanistan, Agriculture, value added (% GDP), %, X,27.01
Afghanistan, Agriculture, value added to GDP, current US$, X,5346864970
Afghanistan, Arable land area,1000 ha, X,7829,
Afghanistan, Cultivated area (arable land + permanent crops),1000 ha, X,8094,
Afghanistan, Environmental Flow Requirements,10^9 m3/year, I,28.29,
Afghanistan, Fresh groundwater withdrawal,10^9 m3/year, I,3.04,
Afghanistan, Fresh surface water withdrawal,10^9 m3/year, I,17.24,
Afghanistan,GDP Deflator (2015), , X,98.41,
Afghanistan, GDP per capita, current US$/inhab, X,508.45,
Afghanistan,Gender Inequality Index (GII) [equality = 0; inequality = 1), , I,0.69,
Afghanistan, Gross Domestic Product (GDP), current US$, X,19793262413,
Afghanistan,Human Development Index (HDI) [highest = 1], , I,0.5,
Afghanistan, Industrial water withdrawal,10^9 m3/year, I,0.17,
Afghanistan, Industrial water withdrawal as % of total water withdrawal, %, E,0.83,
Afghanistan, Industry, value added to GDP, current US$, X,2114116592
Afghanistan, Irrigation water requirement,10^9 m3/year, I,10.9,
Afghanistan,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,31.05,
Afghanistan, Municipal water withdrawal,10^9 m3/year, I,0.2,
Afghanistan, Municipal water withdrawal as % of total withdrawal, %, E,1,
Afghanistan,Number of people undernourished (3-year average),1000 inhab, X,10200,
Afghanistan, Permanent crops area,1000 ha, X,265,
Afghanistan, Population density,inhab/km2, E,59.63,
Afghanistan,Prevalence of undernourishment (3-year average), %, X,26.9,
Afghanistan, Rural population,1000 inhab, X,28150.6,
Afghanistan,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,12.67,
Afghanistan,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.12,
Afghanistan,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,57.21,
Afghanistan,SDG 6.4.1. Water Use Efficiency,US$/m3, I,0.8,
Afghanistan,SDG 6.4.2. Water Stress, %, E,54.76,
Afghanistan, Services, value added to GDP, current US$, X,11452074680
Afghanistan, Total area of the country (excl. coastal water),1000 ha, E,65286,
Afghanistan, Total freshwater withdrawal,10^9 m3/year, I,20.28,
Afghanistan, Total population,1000 inhab, X,38928.35,
Afghanistan, Total water withdrawal,10^9 m3/year, E,20.37,
Afghanistan, Total water withdrawal per capita,m3/inhab/year, E,523.34,
Afghanistan, Urban population,1000 inhab, X,9904.34,
Bangladesh, % of agricultural GVA produced by irrigated agriculture, %, E,77.92,
Bangladesh, % of total country area cultivated, %, E,63.03,
Bangladesh, Agricultural water withdrawal,10^9 m3/year, I,31.5,
Bangladesh, Agricultural water withdrawal as % of total renewable water resources, %, I,2.57,
Bangladesh, Agricultural water withdrawal as % of total water withdrawal, %, I,87.82,
Bangladesh, Agriculture, value added (% GDP), %, X,12.43
Bangladesh, Agriculture, value added to GDP, current US$, X,40960574956
Bangladesh, Arable land area,1000 ha, X,8000,
Bangladesh, Cultivated area (arable land + permanent crops),1000 ha, X,9301,
Bangladesh, Environmental Flow Requirements,10^9 m3/year, I,600.3,
Bangladesh, Fresh groundwater withdrawal,10^9 m3/year, I,28.48,
Bangladesh, Fresh surface water withdrawal,10^9 m3/year, I,7.39,
Bangladesh,GDP Deflator (2015), , X,120.09,
Bangladesh, GDP per capita, current US$/inhab, X,2000.64,
Bangladesh,Gender Inequality Index (GII) [equality = 0; inequality = 1), , I,0.5,
Bangladesh, Gross Domestic Product (GDP), current US$, X,329484193093,
Bangladesh,Human Development Index (HDI) [highest = 1], , I,0.61,
Bangladesh, Industrial water withdrawal,10^9 m3/year, I,0.77,
Bangladesh, Industrial water withdrawal as % of total water withdrawal, %, I,2.15,
Bangladesh, Industry, value added to GDP, current US$, X,93879832103
Bangladesh, Irrigation water requirement,10^9 m3/year, I,24.56,
Bangladesh,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,2.92,
Bangladesh, Municipal water withdrawal,10^9 m3/year, I,3.6,
Bangladesh, Municipal water withdrawal as % of total withdrawal, %, I,10.04,
Bangladesh,Number of people undernourished (3-year average),1000 inhab, X,18000,
Bangladesh, Permanent crops area,1000 ha, X,1301,
Bangladesh, Population density,inhab/km2, E,1116.01,
Bangladesh,Prevalence of undernourishment (3-year average), %, X,11,
Bangladesh, Produced municipal wastewater,10^9 m3/year, I,0.72,
Bangladesh, Rural population,1000 inhab, X,104960.36,
Bangladesh,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,101.52,
Bangladesh,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.84,
Bangladesh,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,41.58,
Bangladesh,SDG 6.4.1. Water Use Efficiency,US$/m3, I,7.09,
Bangladesh,SDG 6.4.2. Water Stress, %, E,5.72,
Bangladesh, Services, value added to GDP, current US$, X,179770988791
Bangladesh, Total area of the country (excl. coastal water),1000 ha, E,14757,
Bangladesh, Total freshwater withdrawal,10^9 m3/year, I,35.87,
Bangladesh, Total population,1000 inhab, X,164689.38,
Bangladesh, Total water withdrawal,10^9 m3/year, I,35.87,
Bangladesh, Total water withdrawal per capita,m3/inhab/year, E,217.8,
Bangladesh, Urban population,1000 inhab, X,64814.95,
Benin, % of agricultural GVA produced by irrigated agriculture, %, E,1.01,
Benin, % of total country area cultivated, %, E,29.63,
Benin, Agricultural water withdrawal,10^9 m3/year, I,0.06,
Benin, Agricultural water withdrawal as % of total renewable water resources, %, I,0.22,
Benin, Agricultural water withdrawal as % of total water withdrawal, %, E,25.21,
Benin, Agriculture, value added (% GDP), %, X,27.81
Benin, Agriculture, value added to GDP, current US$, X,4228509309
Benin, Arable land area,1000 ha, X,2800,
Benin, Cultivated area (arable land + permanent crops),1000 ha, X,3400,
Benin, Environmental Flow Requirements,10^9 m3/year, I,13.06,
Benin, Fresh groundwater withdrawal,10^9 m3/year, I,0.04,
Benin, Fresh surface water withdrawal,10^9 m3/year, I,0.09,
Benin,GDP Deflator (2015), , X,105.21,
Benin, GDP per capita, current US$/inhab, X,1254.21,
Benin,Gender Inequality Index (GII) [equality = 0; inequality = 1), , I,0.61,
Benin, Gross Domestic Product (GDP), current US$, X,15205070065,
Benin,Human Development Index (HDI) [highest = 1], , I,0.52,
Benin, Industrial water withdrawal,10^9 m3/year, I,0.03,
Benin, Industrial water withdrawal as % of total water withdrawal, %, E,12.82,
Benin, Industry, value added to GDP, current US$, X,2224305861
Benin, Irrigation water requirement,10^9 m3/year, I,0.01,
Benin, Irrigation water withdrawal,10^9 m3/year, I,0.04,
Benin,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,0.49,
Benin, Municipal water withdrawal,10^9 m3/year, I,0.14,
Benin, Municipal water withdrawal as % of total withdrawal, %, E,61.97,
Benin,Number of people undernourished (3-year average),1000 inhab, X,900,
Benin, Permanent crops area,1000 ha, X,600,
Benin, Population density,inhab/km2, E,105.64,
