Country, Variable, Unit, Symbol,"""2020"""
Afghanistan, Agricultural water withdrawal,10^9 m3/year, I,20
Afghanistan, Agricultural water withdrawal as % of total renewable water resources, %, I,30.61
Afghanistan, Agricultural water withdrawal as % of total water withdrawal, %, E,98.17
Afghanistan, Dam capacity per capita,m3/inhab, E,51.61
Afghanistan, Dependency ratio, %, I,28.72
Afghanistan, Environmental Flow Requirements,10^9 m3/year, I,28.29
Afghanistan, Fresh groundwater withdrawal,10^9 m3/year, I,3.04
Afghanistan, Fresh surface water withdrawal,10^9 m3/year, I,17.24
Afghanistan, Groundwater produced internally,10^9 m3/year, I,10.65
Afghanistan, Groundwater: accounted inflow,10^9 m3/year, I, 
Afghanistan, Groundwater: entering the country (total),10^9 m3/year, I, 
Afghanistan, Industrial water withdrawal,10^9 m3/year, I,0.17
Afghanistan, Industrial water withdrawal as % of total water withdrawal, %, E,0.83
Afghanistan, Interannual variability (WRI), , I,2.5
Afghanistan, Irrigation water requirement,10^9 m3/year, I,10.9
Afghanistan, Long-term average annual precipitation in depth, mm/year, I,327
Afghanistan, Long-term average annual precipitation in volume,10^9 m3/year, I,213.49
Afghanistan,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,31.05
Afghanistan, Municipal water withdrawal,10^9 m3/year, I,0.2
Afghanistan, Municipal water withdrawal as % of total withdrawal, %, E,1
Afghanistan, National Rainfall Index (NRI), mm/year, I,185
Afghanistan, Overlap between surface water and groundwater,10^9 m3/year, I,1
Afghanistan, Overlap: between surface water and groundwater,10^9 m3/year, I,1
Afghanistan,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,12.67
Afghanistan,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.12
Afghanistan,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,57.21
Afghanistan,SDG 6.4.1. Water Use Efficiency,US$/m3, I,0.8
Afghanistan,SDG 6.4.2. Water Stress, %, E,54.76
Afghanistan, Seasonal variability (WRI), , I,2.5
Afghanistan, Surface water produced internally,10^9 m3/year, I,37.5
Afghanistan, Surface water: accounted flow of border rivers,10^9 m3/year, I,9
Afghanistan, Surface water: accounted inflow,10^9 m3/year, I,19
Afghanistan, Surface water: entering the country (total),10^9 m3/year, I,10
Afghanistan, Surface water: inflow not submitted to treaties,10^9 m3/year, I,10
Afghanistan, Surface water: inflow secured through treaties,10^9 m3/year, I, 
Afghanistan, Surface water: inflow submitted to treaties,10^9 m3/year, I, 
Afghanistan, Surface water: leaving the country to other countries (total),10^9 m3/year, I,42.22
Afghanistan, Surface water: outflow to other countries not submitted to treaties,10^9 m3/year, I,35.52
Afghanistan, Surface water: outflow to other countries secured through treaties,10^9 m3/year, I,0.82
Afghanistan, Surface water: outflow to other countries submitted to treaties,10^9 m3/year, I,6.7
Afghanistan, Surface water: total external renewable,10^9 m3/year, I,18.18
Afghanistan, Surface water: total flow of border rivers,10^9 m3/year, I,33.4
Afghanistan, Total dam capacity,km3, E,2.01
Afghanistan, Total freshwater withdrawal,10^9 m3/year, I,20.28
Afghanistan, Total internal renewable water resources (IRWR),10^9 m3/year, I,47.15
Afghanistan, Total internal renewable water resources per capita,m3/inhab/year, E,1211.2
Afghanistan, Total renewable groundwater,10^9 m3/year, I,10.65
Afghanistan, Total renewable surface water,10^9 m3/year, I,55.68
Afghanistan, Total renewable water resources,10^9 m3/year, I,65.33
Afghanistan, Total renewable water resources per capita,m3/inhab/year, E,1678.21
Afghanistan, Total water withdrawal,10^9 m3/year, E,20.37
Afghanistan, Total water withdrawal per capita,m3/inhab/year, E,523.34
Afghanistan, Water resources: total external renewable,10^9 m3/year, I,18.18
Bangladesh, Agricultural water withdrawal,10^9 m3/year, I,31.5
Bangladesh, Agricultural water withdrawal as % of total renewable water resources, %, I,2.57
Bangladesh, Agricultural water withdrawal as % of total water withdrawal, %, I,87.82
Bangladesh, Dam capacity per capita,m3/inhab, E,39.33
Bangladesh, Dependency ratio, %, I,91.44
Bangladesh, Environmental Flow Requirements,10^9 m3/year, I,600.3
Bangladesh, Fresh groundwater withdrawal,10^9 m3/year, I,28.48
Bangladesh, Fresh surface water withdrawal,10^9 m3/year, I,7.39
Bangladesh, Groundwater produced internally,10^9 m3/year, I,21.09
Bangladesh, Groundwater: accounted inflow,10^9 m3/year, I,0.03
Bangladesh, Groundwater: accounted outflow to other countries,10^9 m3/year, I,0.03
Bangladesh, Groundwater: entering the country (total),10^9 m3/year, I,0.03
Bangladesh, Groundwater: leaving the country to other countries (total),10^9 m3/year, I,0.03
Bangladesh, Industrial water withdrawal,10^9 m3/year, I,0.77
Bangladesh, Industrial water withdrawal as % of total water withdrawal, %, I,2.15
Bangladesh, Interannual variability (WRI), , I,0.7
Bangladesh, Irrigation water requirement,10^9 m3/year, I,24.56
Bangladesh, Long-term average annual precipitation in depth, mm/year, I,2666
Bangladesh, Long-term average annual precipitation in volume,10^9 m3/year, I,393.42
Bangladesh,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,2.92
Bangladesh, Municipal water withdrawal,10^9 m3/year, I,3.6
Bangladesh, Municipal water withdrawal as % of total withdrawal, %, I,10.04
Bangladesh, National Rainfall Index (NRI), mm/year, I,2309
Bangladesh, Overlap between surface water and groundwater,10^9 m3/year, I, 
Bangladesh, Overlap: between surface water and groundwater,10^9 m3/year, I, 
Bangladesh, Produced municipal wastewater,10^9 m3/year, I,0.72
Bangladesh,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,101.52
Bangladesh,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.84
Bangladesh,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,41.58
Bangladesh,SDG 6.4.1. Water Use Efficiency,US$/m3, I,7.09
Bangladesh,SDG 6.4.2. Water Stress, %, E,5.72
Bangladesh, Seasonal variability (WRI), , I,3.6
Bangladesh, Surface water produced internally,10^9 m3/year, I,83.91
Bangladesh, Surface water: accounted flow of border rivers,10^9 m3/year, I, 
Bangladesh, Surface water: accounted inflow,10^9 m3/year, I,1122
Bangladesh, Surface water: entering the country (total),10^9 m3/year, I,1122
Bangladesh, Surface water: inflow not submitted to treaties,10^9 m3/year, I,1122
Bangladesh, Surface water: inflow secured through treaties,10^9 m3/year, I, 
Bangladesh, Surface water: inflow submitted to treaties,10^9 m3/year, I, 
